CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,HasBalance,ActiveBalance,InactiveHighBalance,Geography_Germany,Geography_Spain,Gender_Male,AgeGroup_30_39,AgeGroup_40_49,AgeGroup_50_59,AgeGroup_60_plus,LogCustomerValue
619,42,2,0.0,1,1,1,101348.88,1,0,0.0,0,0,0,0,0,1,0,0,0.0
608,41,1,83807.86,1,0,1,112542.58,0,1,83807.86,0,0,1,0,0,1,0,0,11.336294008805
502,42,8,159660.8,3,1,0,113931.57,1,1,0.0,1,0,0,0,0,1,0,0,13.079421220260176
699,39,1,0.0,2,0,0,93826.63,0,0,0.0,0,0,0,0,1,0,0,0,0.0
850,43,2,125510.82,1,1,1,79084.1,0,1,125510.82,0,0,1,0,0,1,0,0,11.740155216385942
645,44,8,113755.78,2,1,0,149756.71,1,1,0.0,1,0,1,1,0,1,0,0,12.334960724640402
822,50,7,0.0,2,1,1,10062.8,0,0,0.0,0,0,0,1,0,0,1,0,0.0
376,29,4,115046.74,4,1,0,119346.88,1,1,0.0,1,1,0,0,0,0,0,0,13.03939029370313
501,44,4,142051.07,2,0,1,74940.5,0,1,142051.07,0,0,0,1,0,1,0,0,12.557092620227523
684,27,2,134603.88,1,1,1,71725.73,0,1,134603.88,0,0,0,1,0,0,0,0,11.810098951107612
528,31,6,102016.72,2,0,0,80181.12,0,1,0.0,1,0,0,1,1,0,0,0,12.226044082106677
497,24,3,0.0,2,1,0,76390.01,0,0,0.0,0,0,1,1,0,0,0,0,0.0
476,34,10,0.0,2,1,0,26260.98,0,0,0.0,0,0,0,0,1,0,0,0,0.0
549,25,5,0.0,2,0,0,190857.79,0,0,0.0,0,0,0,0,0,0,0,0,0.0
635,35,7,0.0,2,1,1,65951.65,0,0,0.0,0,0,1,0,1,0,0,0,0.0
616,45,3,143129.41,2,0,1,64327.26,0,1,143129.41,0,1,0,1,0,1,0,0,12.564655138939017
653,58,1,132602.88,1,1,0,5097.67,1,1,0.0,1,1,0,1,0,0,1,0,11.79512161724095
549,24,9,0.0,2,1,1,14406.41,0,0,0.0,0,0,1,0,0,0,0,0,0.0
587,45,6,0.0,1,0,0,158684.81,0,0,0.0,0,0,1,1,0,1,0,0,0.0
726,24,6,0.0,2,1,1,54724.03,0,0,0.0,0,0,0,0,0,0,0,0,0.0
732,41,8,0.0,2,1,1,170886.17,0,0,0.0,0,0,0,1,0,1,0,0,0.0
636,32,8,0.0,2,1,0,138555.46,0,0,0.0,0,0,1,0,1,0,0,0,0.0
510,38,4,0.0,1,1,0,118913.53,1,0,0.0,0,0,1,0,1,0,0,0,0.0
669,46,3,0.0,2,0,1,8487.75,0,0,0.0,0,0,0,1,0,1,0,0,0.0
846,38,5,0.0,1,1,1,187616.16,0,0,0.0,0,0,0,0,1,0,0,0,0.0
577,25,3,0.0,2,0,1,124508.29,0,0,0.0,0,0,0,1,0,0,0,0,0.0
756,36,2,136815.64,1,1,1,170041.95,0,1,136815.64,0,1,0,1,1,0,0,0,11.826396914200256
571,44,9,0.0,2,0,0,38433.35,0,0,0.0,0,0,0,1,0,1,0,0,0.0
574,43,3,141349.43,1,1,1,100187.43,0,1,141349.43,0,1,0,0,0,1,0,0,11.858997405211202
411,29,0,59697.17,2,1,1,53483.21,0,1,59697.17,0,0,0,1,0,0,0,0,11.690195450703296
591,39,3,0.0,3,1,0,140469.38,1,0,0.0,0,0,1,0,1,0,0,0,0.0
533,36,7,85311.7,1,0,1,156731.91,0,1,85311.7,0,0,0,1,1,0,0,0,11.354078608681013
553,41,9,110112.54,2,0,0,81898.81,0,1,0.0,1,1,0,1,0,1,0,0,12.302409934041348
520,42,6,0.0,2,1,1,34410.55,0,0,0.0,0,0,1,0,0,1,0,0,0.0
722,29,9,0.0,2,1,1,142033.07,0,0,0.0,0,0,1,0,0,0,0,0,0.0
475,45,0,134264.04,1,1,0,27822.99,1,1,0.0,1,0,0,0,0,1,0,0,11.807571035891401
490,31,3,145260.23,1,0,1,114066.77,0,1,145260.23,0,0,1,1,1,0,0,0,11.886288986699691
804,33,7,76548.6,1,0,1,98453.45,0,1,76548.6,0,0,1,1,1,0,0,0,11.245694175729264
850,36,7,0.0,1,1,1,40812.9,0,0,0.0,0,0,0,1,1,0,0,0,0.0
582,41,6,70349.48,2,0,1,178074.04,0,1,70349.48,0,1,0,1,0,1,0,0,11.854384958809618
472,40,4,0.0,1,1,0,70154.22,0,0,0.0,0,0,1,1,0,1,0,0,0.0
465,51,8,122522.32,1,0,0,181297.65,1,1,0.0,1,0,0,0,0,0,1,0,11.716056658196294
556,61,2,117419.35,1,1,1,94153.83,0,1,117419.35,0,0,0,0,0,0,0,1,11.673515510366588
834,49,2,131394.56,1,0,0,194365.76,1,1,0.0,1,0,0,0,0,1,0,0,11.785967594507415
660,61,5,155931.11,1,1,1,158338.39,0,1,155931.11,0,0,1,0,0,0,0,1,11.957175999200325
776,32,4,109421.13,2,1,1,126517.46,0,1,109421.13,0,1,0,0,1,0,0,0,12.29611104479501
829,27,9,112045.67,1,1,1,119708.21,1,1,112045.67,0,1,0,0,0,0,0,0,11.626670759911956
637,39,9,137843.8,1,1,1,117622.8,1,1,137843.8,0,1,0,0,1,0,0,0,11.833883693578674
550,38,2,103391.38,1,0,1,90878.13,0,1,103391.38,0,1,0,1,1,0,0,0,11.546286543950185
776,37,2,103769.22,2,1,0,194099.12,0,1,0.0,1,1,0,0,1,0,0,0,12.243076672880598
698,44,10,116363.37,2,1,0,198059.16,0,1,0.0,1,1,0,1,0,1,0,0,12.35762455146786
585,36,5,146050.97,2,0,0,86424.57,0,1,0.0,1,1,0,1,1,0,0,0,12.584861553371397
788,33,5,0.0,2,0,0,116978.19,0,0,0.0,0,0,0,0,1,0,0,0,0.0
655,41,8,125561.97,1,0,0,164040.94,1,1,0.0,1,1,0,1,0,1,0,0,11.740562664706083
601,42,1,98495.72,1,1,0,40014.76,1,1,0.0,1,1,0,1,0,1,0,0,11.497778527113354
619,43,1,125211.92,1,1,1,113410.49,0,1,125211.92,0,0,0,1,0,1,0,0,11.737770927212088
656,45,5,127864.4,1,1,0,87107.57,0,1,0.0,1,0,0,1,0,1,0,0,11.758733427122003
725,19,0,75888.2,1,0,0,45613.75,0,1,0.0,1,1,0,1,0,0,0,0,11.237029660769066
511,66,4,0.0,1,1,0,1643.11,1,0,0.0,0,0,1,0,0,0,0,1,0.0
614,51,4,40685.92,1,1,1,46775.28,0,1,40685.92,0,0,0,1,0,0,1,0,10.613661943857002
742,35,5,136857.0,1,0,0,84509.57,0,1,0.0,1,1,0,1,1,0,0,0,11.826699170926089
687,27,9,152328.88,2,0,0,126494.82,0,1,0.0,1,1,0,0,0,0,0,0,12.626947609571467
555,33,1,56084.69,2,0,0,178798.13,0,1,0.0,1,0,1,1,1,0,0,0,11.627774244348606
684,56,8,78707.16,1,1,1,99398.36,0,1,78707.16,0,0,1,1,0,0,1,0,11.273502113909878
603,26,4,109166.37,1,1,1,92840.67,0,1,109166.37,0,1,0,1,0,0,0,0,11.600637488116671
751,36,6,169831.46,2,1,1,27758.36,0,1,169831.46,0,1,0,0,1,0,0,0,12.735711937144881
581,34,1,101633.04,1,1,0,110431.51,0,1,0.0,1,1,0,0,1,0,0,0,11.529133797383441
735,43,10,123180.01,2,1,1,196673.28,0,1,123180.01,0,1,0,1,0,1,0,0,12.414553300074923
661,35,5,150725.53,2,0,1,113656.85,0,1,150725.53,0,1,0,0,1,0,0,0,12.616366277531622
675,21,8,98373.26,1,1,0,18203.0,0,1,0.0,1,0,0,0,0,0,0,0,11.496534463455072
738,58,2,133745.44,4,1,0,28373.86,1,1,0.0,1,1,0,1,0,0,1,0,13.189989801059864
813,29,6,0.0,1,1,0,33953.87,0,0,0.0,0,0,0,1,0,0,0,0,0.0
657,37,0,163607.18,1,0,1,44203.55,0,1,163607.18,0,0,1,0,1,0,0,0,12.005229701900825
604,25,5,157780.84,2,1,1,58426.81,0,1,157780.84,0,1,0,0,0,0,0,0,12.662112610011091
519,36,9,0.0,2,0,1,145562.4,0,0,0.0,0,0,0,1,1,0,0,0,0.0
735,21,1,178718.19,2,1,0,22388.0,0,1,0.0,1,0,0,0,0,0,0,0,12.786715464934588
664,55,8,0.0,2,1,1,139161.64,0,0,0.0,0,0,0,1,0,0,1,0,0.0
678,32,9,0.0,1,1,1,148210.64,0,0,0.0,0,0,0,0,1,0,0,0,0.0
757,33,5,77253.22,1,0,1,194239.63,0,1,77253.22,0,0,1,1,1,0,0,0,11.254856821099661
416,41,10,122189.66,2,1,0,98301.61,0,1,0.0,1,1,0,0,0,1,0,0,12.40648097930578
665,34,1,96645.54,2,0,0,171413.66,0,1,0.0,1,0,0,0,1,0,0,0,12.171957691775544
777,32,2,0.0,1,1,0,136458.19,1,0,0.0,0,0,0,0,1,0,0,0,0.0
543,36,3,0.0,2,0,0,26019.59,0,0,0.0,0,0,0,0,1,0,0,0,0.0
506,34,4,90307.62,1,1,1,159235.29,0,1,90307.62,0,0,0,0,1,0,0,0,11.410988194428281
493,46,4,0.0,2,1,0,1907.66,0,0,0.0,0,0,0,0,0,1,0,0,0.0
652,75,10,0.0,2,1,1,114675.75,0,0,0.0,0,0,1,0,0,0,0,1,0.0
750,22,3,121681.82,1,1,0,128643.35,1,1,0.0,1,0,1,1,0,0,0,0,11.709173102207032
729,30,9,0.0,2,1,0,151869.35,0,0,0.0,0,0,0,1,1,0,0,0,0.0
